id,legacy_id,formal_code,scientific_name,family_code,family,genus,species,area,hypothesis,primary_metric,metric_code,suggested_method,source
H020,H20,AVT-TEN-UNCU-020,*Tensio uncus* var. h020-cost-inaction-hooks,TEN,Hook tension / information gap,Tensio,uncus,C. Hooks,Cost-of-inaction hooks outperform benefit hooks for mistake-fixing content.,early retention,EHR,M-SVT,v3/04_Experiments/hypothesis_register.md
H021,H21,AVT-TEN-UNCU-021,*Tensio uncus* var. h021-question-hooks-underperform,TEN,Hook tension / information gap,Tensio,uncus,C. Hooks,Question hooks underperform statement hooks unless highly specific.,chose-to-view,CTV,M-SVT,v3/04_Experiments/hypothesis_register.md
H022,H22,AVT-TEN-UNCU-022,*Tensio uncus* var. h022-hook-body-mismatch,TEN,Hook tension / information gap,Tensio,uncus,C. Hooks,Hook-body mismatch boosts starts but hurts follow conversion.,"follows per 1,000 views",FOL,M-SVT,v3/04_Experiments/hypothesis_register.md
H023,H23,AVT-COG-CAPT-023,*Cognitio captionis* var. h023-edited-captions-beat,COG,Comprehension / cognitive load,Cognitio,captionis,D. Captions and text overlays,Edited captions beat auto captions.,avg % viewed,MIX,M-DOS,v3/04_Experiments/hypothesis_register.md
H024,H24,AVT-COG-CAPT-024,*Cognitio captionis* var. h024-short-headline-overlay,COG,Comprehension / cognitive load,Cognitio,captionis,D. Captions and text overlays,Short headline overlay beats no headline for ambiguous visuals.,3-sec hold,EHR,M-DOS,v3/04_Experiments/hypothesis_register.md
H025,H25,AVT-COG-CAPT-025,*Cognitio captionis* var. h025-heavy-central-overlay,COG,Comprehension / cognitive load,Cognitio,captionis,D. Captions and text overlays,Heavy central overlay hurts dynamic visuals.,completion,RET,M-DOS,v3/04_Experiments/hypothesis_register.md
H026,H26,AVT-COG-CAPT-026,*Cognitio captionis* var. h026-labels-beat-full,COG,Comprehension / cognitive load,Cognitio,captionis,D. Captions and text overlays,Labels beat full captions for visual comparison videos.,"completion, saves",RET,M-DOS,v3/04_Experiments/hypothesis_register.md
H027,H27,AVT-COG-CAPT-027,*Cognitio captionis* var. h027-navigation-text-increases,COG,Comprehension / cognitive load,Cognitio,captionis,D. Captions and text overlays,Navigation text increases completion in multi-step videos.,completion,RET,M-DOS,v3/04_Experiments/hypothesis_register.md
H028,H28,AVT-COG-CAPT-028,*Cognitio captionis* var. h028-annotation-arrows-improve,COG,Comprehension / cognitive load,Cognitio,captionis,D. Captions and text overlays,Annotation arrows improve comprehension when visual target is small.,saves,SAV,M-DOS,v3/04_Experiments/hypothesis_register.md
H029,H29,AVT-COG-CAPT-029,*Cognitio captionis* var. h029-captions-placed-over,COG,Comprehension / cognitive load,Cognitio,captionis,D. Captions and text overlays,Captions placed over the subject reduce retention.,completion,RET,M-DOS,v3/04_Experiments/hypothesis_register.md
H030,H30,AVT-SEA-CAPT-030,*Quaeribilitas captionis* var. h030-keyword-text-improves,SEA,Search / long-tail demand,Quaeribilitas,captionis,D. Captions and text overlays,Keyword text in first 2s improves classification.,search traffic,SEA,M-SGA,v3/04_Experiments/hypothesis_register.md
H031,H31,AVT-COG-CAPT-031,*Cognitio captionis* var. h031-word-word-captions,COG,Comprehension / cognitive load,Cognitio,captionis,D. Captions and text overlays,Word-by-word captions increase stimulation but may reduce comprehension for complex ideas.,completion vs early retention,EHR,M-DOS,v3/04_Experiments/hypothesis_register.md
H032,H32,AVT-MED-NATI-032,*Mediagrammatica nativa* var. h032-visual-resets-every,MED,Platform grammar,Mediagrammatica,nativa,E. Visual rhythm and editing,Visual resets every 2–4s improve retention for educational Shorts.,avg % viewed,MIX,M-CST,v3/04_Experiments/hypothesis_register.md
H033,H33,AVT-RET-PULS-033,*Retentio pulsus* var. h033-every-visual-reset,RET,Retention / story progress,Retentio,pulsus,E. Visual rhythm and editing,Every visual reset must add information.,"completion, saves",RET,M-SEQ,v3/04_Experiments/hypothesis_register.md
H034,H34,AVT-RET-PULS-034,*Retentio pulsus* var. h034-screen-recording-zooms,RET,Retention / story progress,Retentio,pulsus,E. Visual rhythm and editing,Screen-recording zooms improve retention for software tutorials.,"saves, avg watch",RET,M-SEQ,v3/04_Experiments/hypothesis_register.md
H035,H35,AVT-FOR-PULS-035,*Forma pulsus* var. h035-side-side-comparisons,FOR,Content form mechanics,Forma,pulsus,E. Visual rhythm and editing,Side-by-side comparisons outperform sequential examples.,"rewatch, saves",RET,M-FRM,v3/04_Experiments/hypothesis_register.md
H036,H36,AVT-FID-PROB-036,*Fides probatoria* var. h036-proof-inserts-increase,FID,Trust / proof / originality,Fides,probatoria,E. Visual rhythm and editing,Proof inserts increase follow rate.,follows,FOL,M-MPT,v3/04_Experiments/hypothesis_register.md
H037,H37,AVT-MED-PULS-037,*Mediagrammatica pulsus* var. h037-native-style-beats,MED,Platform grammar,Mediagrammatica,pulsus,E. Visual rhythm and editing,Lo-fi/native style beats polished style in authenticity niches.,chose-to-view,CTV,M-CST,v3/04_Experiments/hypothesis_register.md
H038,H38,AVT-FOR-PULS-038,*Forma pulsus* var. h038-polished-style-beats,FOR,Content form mechanics,Forma,pulsus,E. Visual rhythm and editing,Polished style beats lo-fi when credibility is the value proposition.,"saves, follows",SAV,M-FRM,v3/04_Experiments/hypothesis_register.md
H039,H39,AVT-RET-PULS-039,*Retentio pulsus* var. h039-rapid-cuts-hurt,RET,Retention / story progress,Retentio,pulsus,E. Visual rhythm and editing,Rapid cuts hurt when viewers need to read or inspect.,"saves, completion",RET,M-SEQ,v3/04_Experiments/hypothesis_register.md
H040,H40,AVT-RET-STOR-040,*Retentio storyformis* var. h040-payoff-inside-improves,RET,Retention / story progress,Retentio,storyformis,F. Story and payoff,First payoff inside 3–7s improves retention.,avg watch,RET,M-SEQ,v3/04_Experiments/hypothesis_register.md
H041,H41,AVT-RET-STOR-041,*Retentio storyformis* var. h041-delayed-payoff-improves,RET,Retention / story progress,Retentio,storyformis,F. Story and payoff,Delayed payoff improves completion only when tension is strong.,completion,RET,M-SEQ,v3/04_Experiments/hypothesis_register.md
H042,H42,AVT-RET-STOR-042,*Retentio storyformis* var. h042-problem-test-result,RET,Retention / story progress,Retentio,storyformis,F. Story and payoff,Problem-test-result beats pure advice.,"completion, saves",RET,M-SEQ,v3/04_Experiments/hypothesis_register.md
H043,H43,AVT-RET-STOR-043,*Retentio storyformis* var. h043-before-after-strongest,RET,Retention / story progress,Retentio,storyformis,F. Story and payoff,Before-after-why is strongest for visual edits.,"saves, shares",SAV,M-SEQ,v3/04_Experiments/hypothesis_register.md
H044,H44,AVT-TEN-PROB-044,*Tensio probatoria* var. h044-myth-evidence-correction,TEN,Hook tension / information gap,Tensio,probatoria,F. Story and payoff,Myth-evidence-correction drives comments and saves.,"comments, saves",SAV,M-SVT,v3/04_Experiments/hypothesis_register.md
H045,H45,AVT-ACT-ACTI-045,*Actio actionalis* var. h045-teardown-convert-follows,ACT,Action design / CTA,Actio,actionalis,F. Story and payoff,Teardown videos convert to follows better than generic tips.,follows,FOL,M-SVT,v3/04_Experiments/hypothesis_register.md
H046,H46,AVT-ACT-ACTI-046,*Actio actionalis* var. h046-open-loops-should,ACT,Action design / CTA,Actio,actionalis,F. Story and payoff,Open loops should be closed before the CTA.,"completion, sentiment",RET,M-SVT,v3/04_Experiments/hypothesis_register.md
H047,H47,AVT-RET-STOR-047,*Retentio storyformis* var. h047-story-beats-beats,RET,Retention / story progress,Retentio,storyformis,F. Story and payoff,More story beats per second beats more cuts per second.,avg watch,RET,M-SEQ,v3/04_Experiments/hypothesis_register.md
H048,H48,AVT-TRN-ACTI-048,*Transmissio actionalis* var. h048-save-ctas-work,TRN,Social transmission / sharing,Transmissio,actionalis,"G. Save, send, comment, follow",Save CTAs work best on reference content.,saves,SAV,M-SVT,v3/04_Experiments/hypothesis_register.md
H049,H49,AVT-TRN-ACTI-049,*Transmissio actionalis* var. h049-send-ctas-work,TRN,Social transmission / sharing,Transmissio,actionalis,"G. Save, send, comment, follow",Send CTAs work best on identity/social content.,sends,SND,M-SVT,v3/04_Experiments/hypothesis_register.md
H050,H50,AVT-TRN-ACTI-050,*Transmissio actionalis* var. h050-comment-ctas-work,TRN,Social transmission / sharing,Transmissio,actionalis,"G. Save, send, comment, follow",Comment CTAs work best when the answer reveals segmentation.,comment quality,CMT,M-SVT,v3/04_Experiments/hypothesis_register.md
H051,H51,AVT-TRN-SERI-051,*Transmissio serialis* var. h051-follow-ctas-unless,TRN,Social transmission / sharing,Transmissio,serialis,"G. Save, send, comment, follow",Follow CTAs are weak unless the series promise is clear.,follows,FOL,M-SVT,v3/04_Experiments/hypothesis_register.md
H052,H52,AVT-FID-ACTI-052,*Fides actionalis* var. h052-relatable-pain-increases,FID,Trust / proof / originality,Fides,actionalis,"G. Save, send, comment, follow",Relatable pain increases sends.,sends,SND,M-MPT,v3/04_Experiments/hypothesis_register.md
H053,H53,AVT-FID-ACTI-053,*Fides actionalis* var. h053-practical-templates-increase,FID,Trust / proof / originality,Fides,actionalis,"G. Save, send, comment, follow",Practical templates increase saves.,saves,SAV,M-MPT,v3/04_Experiments/hypothesis_register.md
H054,H54,AVT-TRN-ACTI-054,*Transmissio actionalis* var. h054-mild-controversy-increases,TRN,Social transmission / sharing,Transmissio,actionalis,"G. Save, send, comment, follow",Mild controversy increases comments but may reduce saves.,comments vs saves,SAV,M-SVT,v3/04_Experiments/hypothesis_register.md
H055,H55,AVT-TEN-ACTI-055,*Tensio actionalis* var. h055-surprise-improves-shares,TEN,Hook tension / information gap,Tensio,actionalis,"G. Save, send, comment, follow",Awe/surprise improves shares more safely than anger.,"shares, sentiment",SND,M-SVT,v3/04_Experiments/hypothesis_register.md
H056,H56,AVT-TRN-ACTI-056,*Transmissio actionalis* var. h056-recipient-ctas-beat,TRN,Social transmission / sharing,Transmissio,actionalis,"G. Save, send, comment, follow",Specific-recipient CTAs beat generic share CTAs.,sends/shares,SND,M-SVT,v3/04_Experiments/hypothesis_register.md
H057,H57,AVT-MED-QUAE-057,*Mediagrammatica quaesitiva* var. h057-search-backed-tiktoks,MED,Platform grammar,Mediagrammatica,quaesitiva,H. Platform-specific,Search-backed TikToks have longer tails than trend-backed TikToks.,TikTok,SEA,M-CST,v3/04_Experiments/hypothesis_register.md
H058,H58,AVT-MED-NATI-058,*Mediagrammatica nativa* var. h058-full-watch-optimisation,MED,Platform grammar,Mediagrammatica,nativa,H. Platform-specific,"Full-watch optimisation matters more for short, single-payoff TikToks.",TikTok,RET,M-CST,v3/04_Experiments/hypothesis_register.md
H059,H59,AVT-MED-PRIM-059,*Mediagrammatica primafacialis* var. h059-frame-acts-like,MED,Platform grammar,Mediagrammatica,primafacialis,H. Platform-specific,First frame acts like a thumbnail in Shorts.,YouTube Shorts,MIX,M-CST,v3/04_Experiments/hypothesis_register.md
H060,H60,AVT-MED-NATI-060,*Mediagrammatica nativa* var. h060-engaged-views-matter,MED,Platform grammar,Mediagrammatica,nativa,H. Platform-specific,Engaged views matter more than public views after the 2025 Shorts view-count change.,YouTube Shorts,MIX,M-CST,v3/04_Experiments/hypothesis_register.md
H061,H61,AVT-MED-QUAE-061,*Mediagrammatica quaesitiva* var. h061-searchable-shorts-compound,MED,Platform grammar,Mediagrammatica,quaesitiva,H. Platform-specific,Searchable Shorts compound better than trend Shorts.,YouTube Shorts,SEA,M-CST,v3/04_Experiments/hypothesis_register.md
H062,H62,AVT-MED-ACTI-062,*Mediagrammatica actionalis* var. h062-trial-reels-best,MED,Platform grammar,Mediagrammatica,actionalis,H. Platform-specific,Trial Reels are best for testing new formats without follower bias.,Instagram,FOL,M-CST,v3/04_Experiments/hypothesis_register.md
H063,H63,AVT-MED-ACTI-063,*Mediagrammatica actionalis* var. h063-sends-reach-reels,MED,Platform grammar,Mediagrammatica,actionalis,H. Platform-specific,Sends per reach is a key Reels growth signal.,Instagram,SND,M-CST,v3/04_Experiments/hypothesis_register.md
H064,H64,AVT-MED-UNCU-064,*Mediagrammatica uncus* var. h064-follower-follower-need,MED,Platform grammar,Mediagrammatica,uncus,H. Platform-specific,Follower content and non-follower content need different hooks.,Instagram,FOL,M-CST,v3/04_Experiments/hypothesis_register.md
H065,H65,AVT-FID-PROB-065,*Fides probatoria* var. h065-original-proof-beats,FID,Trust / proof / originality,Fides,probatoria,I. Originality and trust,Original proof beats generic advice.,"saves, follows",SAV,M-MPT,v3/04_Experiments/hypothesis_register.md
H066,H66,AVT-FID-FIDU-066,*Fides fiduciae* var. h066-creator-judgment-beats,FID,Trust / proof / originality,Fides,fiduciae,I. Originality and trust,Creator judgment beats template volume.,"follows, return viewers",FOL,M-MPT,v3/04_Experiments/hypothesis_register.md
H067,H67,AVT-FID-FACI-067,*Fides facialis* var. h067-faceless-needs-stronger,FID,Trust / proof / originality,Fides,facialis,I. Originality and trust,Faceless content needs stronger proof than face-led content.,"saves, follows",SAV,M-MPT,v3/04_Experiments/hypothesis_register.md
H068,H68,AVT-FID-ACTI-068,*Fides actionalis* var. h068-reused-clips-require,FID,Trust / proof / originality,Fides,actionalis,I. Originality and trust,Reused clips require commentary that changes meaning.,"trust, watch time",RET,M-MPT,v3/04_Experiments/hypothesis_register.md
H069,H69,AVT-FID-SERI-069,*Fides serialis* var. h069-series-identity-reduces,FID,Trust / proof / originality,Fides,serialis,I. Originality and trust,Series identity reduces slop perception.,"follows, return viewers",FOL,M-MPT,v3/04_Experiments/hypothesis_register.md
H070,H70,AVT-EXP-EXPE-070,*Experimentum experimentalis* var. h070-showing-experiment-process,EXP,Testing / measurement,Experimentum,experimentalis,I. Originality and trust,Showing the experiment process builds more trust than only showing conclusions.,"saves, profile clicks",SAV,M-PRE,v3/04_Experiments/hypothesis_register.md
H071,H71,AVT-MED-NATI-071,*Mediagrammatica nativa* var. h071-sound-helps-supports,MED,Platform grammar,Mediagrammatica,nativa,TikTok For You,Sound helps only when it supports emotion or pacing.,"watch time, shares",RET,M-CST,reconstructed_from_conversation/deep_thesis_bank
H072,H72,AVT-MED-NATI-072,*Mediagrammatica nativa* var. h072-native-feeling-edits,MED,Platform grammar,Mediagrammatica,nativa,TikTok For You,Native-feeling edits outperform overproduced edits in creator-advice niches.,"chose-to-view, comments",CTV,M-CST,reconstructed_from_conversation/deep_thesis_bank
H073,H73,AVT-MED-PRIM-073,*Mediagrammatica primafacialis* var. h073-frame-acts-like,MED,Platform grammar,Mediagrammatica,primafacialis,YouTube Shorts,The first frame acts like a thumbnail in Shorts.,chose-to-view,CTV,M-CST,reconstructed_from_conversation/deep_thesis_bank
H074,H74,AVT-MED-NATI-074,*Mediagrammatica nativa* var. h074-engaged-views-matter,MED,Platform grammar,Mediagrammatica,nativa,YouTube Shorts,Engaged views matter more than public views after the Shorts view-count change.,"engaged views, avg % viewed",MIX,M-CST,reconstructed_from_conversation/deep_thesis_bank
H075,H75,AVT-MED-QUAE-075,*Mediagrammatica quaesitiva* var. h075-searchable-shorts-compound,MED,Platform grammar,Mediagrammatica,quaesitiva,YouTube Shorts,Searchable Shorts compound better than trend Shorts.,"30d views, search traffic",SEA,M-CST,reconstructed_from_conversation/deep_thesis_bank
H076,H76,AVT-EXP-NATI-076,*Experimentum nativa* var. h076-average-percentage-viewed,EXP,Testing / measurement,Experimentum,nativa,YouTube Shorts,Average percentage viewed is more useful than raw view count for creative diagnosis.,avg % viewed,RET,M-PRE,reconstructed_from_conversation/deep_thesis_bank
H077,H77,AVT-MED-SERI-077,*Mediagrammatica serialis* var. h077-subscriber-conversion-improves,MED,Platform grammar,Mediagrammatica,serialis,YouTube Shorts,Subscriber conversion improves when the Short clearly belongs to a series.,subs per view,EHR,M-CST,reconstructed_from_conversation/deep_thesis_bank
H078,H78,AVT-MED-ACTI-078,*Mediagrammatica actionalis* var. h078-trial-reels-testing,MED,Platform grammar,Mediagrammatica,actionalis,Instagram Reels,Trial Reels are better for testing new formats because they reduce follower bias.,"non-follower watch, sends",RET,M-CST,reconstructed_from_conversation/deep_thesis_bank
H079,H79,AVT-MED-ACTI-079,*Mediagrammatica actionalis* var. h079-sends-reach-growth,MED,Platform grammar,Mediagrammatica,actionalis,Instagram Reels,Sends per reach is the key growth metric for Reels discovery.,sends per reach,SND,M-CST,reconstructed_from_conversation/deep_thesis_bank
H080,H80,AVT-MED-UNCU-080,*Mediagrammatica uncus* var. h080-follower-follower-need,MED,Platform grammar,Mediagrammatica,uncus,Instagram Reels,Follower content and non-follower content need different hooks.,Trial Reel performance,FOL,M-CST,reconstructed_from_conversation/deep_thesis_bank
H081,H81,AVT-MED-ACTI-081,*Mediagrammatica actionalis* var. h081-highly-relatable-reels,MED,Platform grammar,Mediagrammatica,actionalis,Instagram Reels,Highly relatable Reels beat highly informative Reels for sends.,sends/shares,SND,M-CST,reconstructed_from_conversation/deep_thesis_bank
H082,H82,AVT-MED-NATI-082,*Mediagrammatica nativa* var. h082-reposted-watermarked-aesthetics,MED,Platform grammar,Mediagrammatica,nativa,Instagram Reels,Reposted or watermarked aesthetics weaken recommendation potential.,"reach, non-follower watch",RET,M-CST,reconstructed_from_conversation/deep_thesis_bank
H083,H83,AVT-FID-PROB-083,*Fides probatoria* var. h083-original-proof-beats,FID,Trust / proof / originality,Fides,probatoria,Originality / anti-slop,Original proof beats generic advice.,"saves, follows",SAV,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H084,H84,AVT-FID-FIDU-084,*Fides fiduciae* var. h084-creator-judgment-beats,FID,Trust / proof / originality,Fides,fiduciae,Originality / anti-slop,Creator judgment beats template volume.,"follow rate, return viewers",FOL,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H085,H85,AVT-FID-FACI-085,*Fides facialis* var. h085-faceless-needs-stronger,FID,Trust / proof / originality,Fides,facialis,Originality / anti-slop,Faceless content needs stronger proof than face-led content.,"completion, saves",RET,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H086,H86,AVT-FID-ACTI-086,*Fides actionalis* var. h086-reused-clips-require,FID,Trust / proof / originality,Fides,actionalis,Originality / anti-slop,Reused clips require commentary that changes meaning.,"watch time, trust",RET,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H087,H87,AVT-FID-SERI-087,*Fides serialis* var. h087-series-identity-reduces,FID,Trust / proof / originality,Fides,serialis,Originality / anti-slop,Series identity reduces slop perception.,"follow rate, return viewers",FOL,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H088,H88,AVT-FID-FIDU-088,*Fides fiduciae* var. h088-assisted-performs-best,FID,Trust / proof / originality,Fides,fiduciae,Originality / AI workflow,AI-assisted content performs best when used for iteration rather than final personality.,"saves, follows",SAV,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H089,H89,AVT-FID-FIDU-089,*Fides fiduciae* var. h089-originality-viral-formats,FID,Trust / proof / originality,Fides,fiduciae,Originality / trend decay,Low-originality viral formats decay faster.,"7d decay, follow conversion",FOL,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H090,H90,AVT-EXP-EXPE-090,*Experimentum experimentalis* var. h090-showing-experiment-process,EXP,Testing / measurement,Experimentum,experimentalis,Originality / experiment process,Showing the experiment process builds more trust than only showing conclusions.,"saves, profile clicks",SAV,M-PRE,reconstructed_from_conversation/deep_thesis_bank
H091,H91,AVT-ATT-PRIM-091,*Salientia primafacialis* var. h091-show-payoff-visually,ATT,Attention / first-frame salience,Salientia,primafacialis,Attention scarcity,Videos that show the payoff visually in the first frame outperform videos that explain the payoff verbally.,"chose-to-view, 3-sec hold",CTV,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H092,H92,AVT-ATT-PRIM-092,*Salientia primafacialis* var. h092-frames-dominant-subject,ATT,Attention / first-frame salience,Salientia,primafacialis,Attention scarcity,First frames with one dominant subject beat cluttered frames for cold-audience discovery.,swipe-away rate,CTV,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H093,H93,AVT-FOR-FORM-093,*Forma formalis* var. h093-clear-watch-signal,FOR,Content form mechanics,Forma,formalis,Attention scarcity,Videos with a clear why-watch-this signal in the first second outperform visually attractive but semantically vague videos.,chose-to-view,CTV,M-FRM,reconstructed_from_conversation/deep_thesis_bank
H094,H94,AVT-TEN-UNCU-094,*Tensio uncus* var. h094-hooks-beat-vague,TEN,Hook tension / information gap,Tensio,uncus,Information scent,Specific hooks beat vague curiosity hooks for educational or practical content.,"3-sec retention, saves",EHR,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H095,H95,AVT-SEA-CAPT-095,*Quaeribilitas captionis* var. h095-search-style-titles,SEA,Search / long-tail demand,Quaeribilitas,captionis,Information scent,Search-style titles and captions produce longer-tail traffic than clever but vague captions.,7d/30d views,SEA,M-SGA,reconstructed_from_conversation/deep_thesis_bank
H096,H96,AVT-SEA-TEXT-096,*Quaeribilitas textualis* var. h096-frame-keyword-label,SEA,Search / long-tail demand,Quaeribilitas,textualis,Information scent,A first-frame keyword label improves cold-audience classification when the visual alone is ambiguous.,"search traffic, early retention",EHR,M-SGA,reconstructed_from_conversation/deep_thesis_bank
H097,H97,AVT-COG-COGN-097,*Cognitio cognitiva* var. h097-clean-high-fluency,COG,Comprehension / cognitive load,Cognitio,cognitiva,Processing fluency,"Clean, high-fluency compositions produce higher completion than visually dense compositions.",completion,RET,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H098,H98,AVT-COG-TEXT-098,*Cognitio textualis* var. h098-text-names-role,COG,Comprehension / cognitive load,Cognitio,textualis,Processing fluency,Text that names the role of the visual increases processing fluency.,"avg watch, saves",RET,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H099,H99,AVT-COG-PULS-099,*Cognitio pulsus* var. h099-small-reductions-visual,COG,Comprehension / cognitive load,Cognitio,pulsus,Processing fluency,Small reductions in visual clutter improve retention more than adding extra motion effects.,avg % viewed,MIX,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H100,H100,AVT-COG-TEXT-100,*Cognitio textualis* var. h100-where-visual-screen,COG,Comprehension / cognitive load,Cognitio,textualis,Dual coding,Videos where visual and on-screen text communicate the same promise in different ways outperform videos where text repeats obvious visuals.,"completion, saves",RET,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H101,H101,AVT-COG-CAPT-101,*Cognitio captionis* var. h101-captions-improve-retention,COG,Comprehension / cognitive load,Cognitio,captionis,Dual coding,"Captions improve retention for speech-heavy videos, but labels beat captions for comparison-heavy visual videos.","avg % viewed, saves",SAV,M-DOS,reconstructed_from_conversation/deep_thesis_bank
