ID,Category,Idea / Hypothesis,What to try,Mechanism to test,Expected direction,Failure mode,Minimum viable experiment,Primary metrics,Evidence grade,Priority,Source IDs,Status
H017,Semantic / Compression,Gist vs Exact Mode Toggle,"Use gist overlay for retention, closed captions for exact speech.",Separates creative and accessibility functions.,Better overall satisfaction with accessibility preserved.,Requires platform support or extra production effort.,Full captions plus gist overlay vs overlay alone.,Preference; comprehension; access rating,Strong adjacent,P0,S01; S05; S09; S10,Backlog
H018,Semantic / Compression,Anti-Filler Captioning,"Remove basically, actually, kind of, really, and redundant phrases.",Reduces visual noise.,Improved perceived clarity.,Overediting may alter speaker voice.,Auto-filler removal vs verbatim.,Effort; clarity rating,Moderate adjacent,P1,S06; S07; S09; S10; S27,Backlog
H019,Semantic / Compression,Certainty Tags,"Mark claims as Rule, Hypothesis, Example, Warning, Tested.",Prevents overclaiming and adds epistemic clarity.,Higher trust and lower misinterpretation.,May feel academic or slow.,Claims with/without certainty tags.,Trust rating; misunderstanding rate,Speculative / direct test needed,P2,S06; S07; S09; S10; S27,Backlog
H020,Semantic / Compression,Question-to-Answer Captions,"Open with a concise question, answer one beat later.",Uses prediction and curiosity without clickbait.,Higher retention if payoff is fast.,Can feel manipulative if delayed.,Question-answer vs statement overlay.,3s hold; completion; trust,Moderate adjacent,P1,S06; S07; S09; S10; S27,Backlog
H021,Typography / Anchors,Bionic Concept Anchors,Partially bold only key concept words after compression.,Tests whether partial-word anchors add anything after compression.,Small boost to recall or subjective clarity.,May add noise; bionic evidence weak.,Semantic compression vs BCC.,Gist recall; fixation count; preference,Weak / contested,P0,S08; S22; S23,Backlog
H022,Typography / Anchors,Full-Word Operator Anchors,"Bold full operator words: Not, Stop, First, Less.",Makes logical relation visible instantly.,Better contrast recall.,Overuse reduces salience.,Operator-bold vs no bold.,Contrast recall; fixation latency,Moderate adjacent,P0,S08; S09; S27; S28,Backlog
H023,Typography / Anchors,Sparse Keyword Highlight,Highlight only 5–15% of displayed words.,Reduces search cost without turning everything salient.,Lower perceived effort.,Wrong keyword selection misguides attention.,Sparse vs dense highlight.,Effort; recall; gaze distribution,Strong adjacent,P0,S08; S09,Backlog
H024,Typography / Anchors,Number Magnets,"Use distinct emphasis for numbers, percentages, steps, dates.",Numbers create decision hooks and are easy to remember.,Better exact recall for quantitative claims.,May create false precision bias.,Number-emphasis vs normal text.,Number recall; trust rating,Moderate adjacent,P1,S09; S28,Backlog
H025,Typography / Anchors,Semantic Line Breaks,"Break lines by meaning, not by width alone.",Line breaks become parsing cues.,Better readability and lower effort.,Poor breaks hurt grammar comprehension.,Natural vs arbitrary line breaks.,Effort; reading completion,Strong adjacent,P1,S02; S04; S09,Backlog
H026,Typography / Anchors,Dual-Weight Captions,"Normal weight for context, bold for decision word.",Creates hierarchy without color dependence.,Better scan speed and accessibility.,Too subtle on small screens.,Dual weight vs uniform weight.,First fixation to keyword; recall,Moderate adjacent,P1,S08; S28,Backlog
H027,Typography / Anchors,Accent Only on Delta,Highlight only what changes from old belief to new belief.,Maximizes semantic contrast.,Better reframe recall.,Requires accurate detection of old/new model.,Full highlight vs delta-only highlight.,Contrast recall,Speculative / direct test needed,P2,S08; S09; S22; S23; S28,Backlog
H028,Typography / Anchors,De-Emphasis Fades,Dull background words and keep key terms high opacity.,Guides attention while preserving context.,May lower reading load.,Low opacity may fail contrast/accessibility.,Opacity fade vs bold highlight.,Recall; contrast compliance,Speculative / direct test needed,P2,S08; S28,Backlog
H029,Typography / Anchors,Contrast Block Underlay,Place text on a stable capsule/plate over busy video.,Reduces crowding and background interference.,Higher readability in busy scenes.,May obscure visual content or look heavy.,Plate vs no plate on busy backgrounds.,Readability; visual recall,Strong adjacent,P1,S15; S28,Backlog
H030,Typography / Anchors,Stroke/Outline Fallback,Use outline/shadow only when background contrast is unstable.,Maintains readability across frames.,Lower missed captions.,Can look noisy if too thick.,Outline vs capsule vs none.,Readability; aesthetic rating,Moderate adjacent,P1,S28; S15,Backlog
H031,Typography / Anchors,Semantic Color Coding,"Assign stable colors to roles: problem, cause, fix.",Preattentive role recognition.,Better sequence recall.,Color alone is inaccessible; must pair with label/shape.,Role color+label vs label only.,Sequence recall; accessibility rating,Moderate adjacent,P2,S09; S28,Backlog
H032,Typography / Anchors,Shape-Coded Status Tokens,"Use small shapes/icons for warning, rule, action, proof.",Adds non-color semantic cue.,Faster role recognition.,Icons may distract or seem childish.,Icon+text vs text-only.,Role recognition time; preference,Moderate adjacent,P2,S09; S28,Backlog
H033,Typography / Anchors,Typeface Trust Test,"Compare clean sans, condensed bold, handwritten, meme style.",Typography may affect credibility and platform-native feel.,Different winning fonts by content type.,Aesthetic preference may mask comprehension.,Font variants with same text.,Trust; retention; recall,Speculative / direct test needed,P2,S21; S28,Backlog
H034,Typography / Anchors,Variable Weight Attention Ramp,Gradually increase weight on words as they become relevant.,Smooth cueing instead of sudden pop.,Better perceived smoothness.,Animation could distract.,Static bold vs weight ramp.,Smoothness; recall; gaze,Speculative / direct test needed,P3,S19; S28,Backlog
H035,Typography / Anchors,Capitalization Rhythm,"Use case intentionally: title case for labels, sentence case for ideas.",Improves scan hierarchy.,Lower effort.,All-caps may reduce readability and feel shouty.,Case variants.,Effort; retention,Moderate adjacent,P2,S21; S28,Backlog
H036,Typography / Anchors,Punctuation as Timing Cue,"Use periods, arrows, colons, and line breaks as rhythm markers.",Supports phrase parsing and temporal expectation.,Better phrase comprehension.,"TikTok-native styles may omit punctuation, conflicting with clarity.",Punctuated vs non-punctuated versions.,Comprehension; engagement,Moderate adjacent,P2,S21; S27,Backlog
H037,Typography / Anchors,Icon+Word Pairing,"Pair a simple icon with a concept word: friction, trigger, proof.",Dual coding may aid memory if not decorative.,Improved delayed recall.,Icon mismatch confuses.,Word-only vs icon+word.,Delayed recall; confusion,Moderate adjacent,P2,S09; S10,Backlog
H038,Typography / Anchors,Bionic Density Gradient,"Test no bionic, one word bionic, all concepts bionic, all words bionic.",Find safe bionic dose.,Sparse bionic may win; heavy loses.,"If no effect, drop bionic component.",Dose-response bionic experiment.,Recall; saccades; effort,Weak / contested,P0,S22; S23,Backlog
H039,Typography / Anchors,Trust-Safe Highlighting,Avoid styling that exaggerates uncertain claims.,Maintains credibility while cueing importance.,Higher trust in nuanced content.,May reduce hook strength.,Overstated vs trust-safe styling.,Trust; comprehension; comments,Speculative / direct test needed,P2,S08; S09; S22; S23; S28,Backlog
H040,Typography / Anchors,Accessible Contrast Auto-Check,Auto-check caption/backplate contrast per frame.,Prevents unreadable overlays.,Fewer missed captions.,May force ugly backplates in complex frames.,Manual vs auto contrast corrected.,Readability; WCAG pass rate,Strong adjacent,P0,S28; S15,Backlog
H041,Timing / Rhythm,Predictive Semantic Priming,Show compressed meaning 200–400 ms before the speaker lands it.,Reduces prediction load and primes interpretation.,Better comprehension and smoother processing.,Too early feels spoiler-like or mismatched.,Pre-cue vs sync vs post-cue.,Gist recall; smoothness; effort,Moderate adjacent,P0,S09; S27; S29,Backlog
H042,Timing / Rhythm,Sync-Locked Semantic Beat,Show the overlay exactly when the semantic beat is spoken.,Preserves audio-text relation.,Reliable baseline.,May be slightly late for fast comprehension.,Sync vs pre/post.,Comprehension; preference,Strong adjacent,P1,S03; S04; S29,Backlog
H043,Timing / Rhythm,Post-Cue Confirmation,Display a summary immediately after the sentence.,Acts as recap rather than preview.,Better exact-to-gist consolidation.,Late text may miss retention window.,Post-cue vs sync.,Delayed recall; completion,Moderate adjacent,P2,S09; S29,Backlog
H044,Timing / Rhythm,Pause-Window Captioning,Place heavier text only during speech pauses or low-action moments.,Avoids competing with important audiovisual input.,Higher visual recall.,Pauses may be too rare in fast speech.,Same overlay during speech vs pauses.,Visual recall; effort,Moderate adjacent,P1,S05; S10; S18,Backlog
H045,Timing / Rhythm,Breath-Aligned Captions,Use natural speech breaths to segment caption events.,Matches human prosody and reduces rush.,Improved comfort and comprehension.,Breaths are hard to detect in noisy audio.,Breath-aligned vs uniform timing.,Comfort; completion,Speculative / direct test needed,P2,S03; S19,Backlog
H046,Timing / Rhythm,Cut-Locked Reveal,Reveal caption on visual cut or camera movement boundary.,Uses visual reset for attention capture.,Better noticing without extra motion.,Can compete with scene change if too much text.,Cut-locked vs mid-shot reveal.,First fixation; recall,Moderate adjacent,P2,S19; S29,Backlog
H047,Timing / Rhythm,Minimum Exposure Guardrail,No caption shorter than 0.8 sec except one-word impact beats.,Respects reading timing constraints.,Lower missed captions.,May slow fast content.,Min duration on/off variants.,Missed caption rate; effort,Strong adjacent,P0,S03; S04; S06,Backlog
H048,Timing / Rhythm,Micro-Rest Rhythm,Insert brief no-text gaps between semantic beats.,Lets eyes return to video and reduces continuous reading.,Better visual recall and lower fatigue.,Gaps may lose muted viewers.,Continuous text vs micro-rest.,Visual recall; effort; completion,Moderate adjacent,P1,S05; S10; S26,Backlog
H049,Timing / Rhythm,Attentional-Blink Spacing,Avoid presenting two critical words within 200–500 ms.,Prevents rapid target competition.,Better recall of second critical word.,May slow high-energy edits.,Critical words close vs spaced.,Second-keyword recall,Moderate adjacent,P2,S24; S29,Backlog
H050,Timing / Rhythm,Tempo-Matched Density,Decrease word count as speech tempo rises.,Keeps reading load stable.,Better comprehension at fast speech.,May omit too much at high speed.,Fixed density vs tempo-adaptive.,Gist recall; effort,Strong adjacent,P1,S04; S06,Backlog
H051,Timing / Rhythm,Caption Refractory Period,"After an emphasized word, hold visual quiet for a beat.",Gives consolidation time.,Better memory for highlighted term.,May feel slow.,Immediate next text vs refractory gap.,Keyword recall; completion,Speculative / direct test needed,P2,S24; S29,Backlog
H052,Timing / Rhythm,Last-Frame Memory Stamp,Hold final takeaway for the last 0.8–1.5 sec.,Supports post-view recall and saves.,Higher save/share and delayed recall.,Can reduce loop smoothness.,With/without final stamp.,Delayed recall; saves,Moderate adjacent,P1,S03; S09,Backlog
H053,Timing / Rhythm,Loop Callback Caption,End with a phrase that reinterprets the opening hook.,Improves narrative closure and rewatch.,Higher completion and rewatch.,Can become manipulative if hook was weak.,Callback vs generic ending.,Completion; rewatch,Speculative / direct test needed,P2,S25,Backlog
H054,Timing / Rhythm,Speed-Adaptive Captions,Detect playback speed or speech rate and adjust overlay density.,Personalizes load.,Better across fast/slow viewers.,Platform may not expose playback speed.,Manual fast/slow variants.,Comprehension by speech rate,Speculative / direct test needed,P3,S06; S30,Backlog
H055,Timing / Rhythm,On-Beat Silence,"Use no text during important sounds, laughs, or music drops.",Prevents text from flattening audio moments.,Better enjoyment.,Muted viewers lose context unless captions provide sound cue.,Text during sound vs no text + sound cue.,Enjoyment; comprehension,Moderate adjacent,P2,S01; S05; S20,Backlog
H056,Placement / Gaze,Mouth-Safe Captioning,Never cover the mouth during speech-heavy clips.,Protects audiovisual speech cues.,Better comprehension in noisy/audio-on conditions.,Less relevant when muted.,Mouth-covered vs mouth-safe overlay.,Comprehension; face dwell,Strong adjacent,P0,S18; S32,Backlog
H057,Placement / Gaze,Eye-Safe Captioning,Avoid covering eyes in emotional/storytelling clips.,Protects social/emotional information.,Better empathy and retention.,May reduce text placement options.,Eye-covered vs eye-safe.,Emotion recognition; completion,Moderate adjacent,P1,S20; S32,Backlog
H058,Placement / Gaze,Action-Safe Captioning,"Avoid hands, products, joints, cursor, and key action path.",Prevents text from stealing task-critical visual information.,Better visual recall and task learning.,May require dynamic object tracking.,Action-covered vs action-safe.,Visual recall; task accuracy,Strong adjacent,P0,S10; S14; S15,Backlog
H059,Placement / Gaze,Object-Near Labels,Place short labels next to the relevant object instead of bottom captions.,Reduces split attention and search.,Better tutorial comprehension.,Labels may crowd the object.,Bottom caption vs object-near labels.,Task recall; gaze travel,Moderate adjacent,P1,S13; S14,Backlog
H060,Placement / Gaze,UI-Safe Zone Templates,Define TikTok/Reels/Shorts danger zones and avoid them.,Prevents platform interface collision.,Higher readability in feed context.,Safe zones vary by device/platform.,Bottom-fixed vs UI-safe placement.,Readability; occlusion rate,Strong practical / direct test needed,P0,S02; S15; S28,Backlog
H061,Placement / Gaze,Saliency-Avoiding Placement,Place text away from predicted high-saliency regions unless it is a label.,Reduces competition with visual content.,Better visual recall.,Low-saliency areas may be poor contrast.,Fixed vs saliency-aware placement.,Visual recall; gaze distribution,Moderate adjacent,P1,S12; S14,Backlog
H062,Placement / Gaze,Meaning-Map Placement,Place text where it supports the semantic region of the scene.,Combines semantic value with gaze tendencies.,Better comprehension than visually loud placement.,Meaning maps hard to automate.,Meaning-aware vs low-level saliency placement.,Gist recall; gaze alignment,Moderate adjacent,P1,S11; S12,Backlog
H063,Placement / Gaze,Crowding-Aware Captioning,"Avoid placing text near other text, UI, or high-frequency background.",Reduces peripheral clutter interference.,Better readability.,May force bland layouts.,Crowded vs uncrowded placement.,Readability; effort,Strong adjacent,P0,S15; S28,Backlog
H064,Placement / Gaze,Negative-Space Captions,Use empty background regions for semantic overlays.,Increases contrast and reduces interference.,Higher readability and aesthetic rating.,Not every shot has negative space.,Negative space vs default bottom.,Readability; visual recall,Moderate adjacent,P1,S15; S28,Backlog
H065,Placement / Gaze,Shoulder-Zone Talking Head Overlay,"Place captions near upper chest/shoulder, away from mouth/eyes/UI.",Balances face access and text proximity.,Better than bottom captions for talking heads.,May cover gestures or clothing patterns.,Shoulder-zone vs lower-third.,Comprehension; mouth visibility,Speculative / direct test needed,P1,S18; S32,Backlog
H066,Placement / Gaze,Screen-Recording Target Labels,Place labels near the cursor/control being discussed.,Reduces split attention in UI tutorials.,Better procedural recall.,Can obscure UI targets.,Bottom captions vs target labels.,Task accuracy; gaze path,Moderate adjacent,P1,S10; S14,Backlog
H067,Placement / Gaze,Product Halo Captions,Place short labels in a ring around product without covering it.,Keeps product visible while explaining attributes.,Better product recall.,Could look cluttered.,Halo labels vs caption block.,Attribute recall; visual recall,Speculative / direct test needed,P2,S14; S15,Backlog
H068,Placement / Gaze,Foveal Anchor + Peripheral Cue,Put readable text centrally; use peripheral arrows/icons for orientation.,Matches foveal/peripheral strengths.,Better orientation without peripheral reading burden.,Could increase visual complexity.,Text-only vs text+peripheral cue.,Gist recall; gaze travel,Moderate adjacent,P2,S31; S15,Backlog
H069,Placement / Gaze,Dynamic Reflow Around ROI,Move captions frame-by-frame around faces/hands/products.,Avoids visual obstruction dynamically.,Better across complex shots.,Movement itself may distract.,Static safe zone vs dynamic reflow.,Visual recall; distraction,Moderate adjacent,P1,S12; S13; S14,Backlog
H070,Placement / Gaze,Shot-Type-Aware Placement,"Use different placement rules for talking head, demo, screen recording, story.",Matches visual task demands.,Higher across-category performance.,Requires accurate shot classification.,Generic vs shot-aware placement.,Comprehension by category,Speculative / direct test needed,P1,S12; S14,Backlog
H071,Placement / Gaze,Speaker-Following Captions,Move text near active speaker in multi-speaker clips.,Reduces speaker identification cost.,Better dialogue attribution.,Motion may annoy frequent subtitle users.,Bottom captions vs speaker-following.,Speaker recall; user preference,Moderate adjacent,P2,S13; S14,Backlog
H072,Placement / Gaze,Eye-Line Triangle Rule,"Place overlay within triangle between speaker’s eyes, hands/object, and center.",Reduces gaze travel.,Lower saccade distance and effort.,Needs eye-tracking validation.,Triangle placement vs arbitrary.,Saccade distance; effort,Speculative / direct test needed,P2,S32; S14,Backlog
H073,Placement / Gaze,Platform Crop Repositioning,"Automatically reposition overlays for TikTok, Reels, Shorts, YouTube preview.",Prevents cross-platform occlusion.,Higher readability after reposting.,Requires platform templates.,Single export vs platform-specific exports.,Occlusion rate; retention by platform,Strong practical / direct test needed,P1,S02; S28,Backlog
H074,Placement / Gaze,Caption Collision Detector,"Detect overlap with native captions, stickers, captions, and UI.",Prevents clutter stacking.,Higher readability.,False positives could restrict layout.,Manual vs auto collision check.,Collision count; readability,Strong practical / direct test needed,P0,S15; S28,Backlog
H075,Placement / Gaze,Gaze Return Windows,"After text appears, reserve moments where nothing blocks the face/object.",Lets gaze return to visual information.,Better visual recall.,Muted viewers may need text continuity.,No-return vs return-window design.,Visual recall; gaze dwell,Moderate adjacent,P2,S05; S10; S13,Backlog
H076,Motion / Kinetic,Logic Motion,"Animate the relation: problem enters, cause connects, fix resolves.","Motion encodes structure, not decoration.",Better sequence recall.,Over-animation increases load.,Static vs logic motion.,Sequence recall; effort,Moderate adjacent,P1,S19; S09,Backlog
H077,Motion / Kinetic,Directional Causal Motion,Move cause toward effect with arrow/line animation.,Spatializes causality.,Better causal understanding.,Can look cheesy or busy.,Text-only vs directional cause animation.,Causal recall; transfer,Speculative / direct test needed,P2,S19,Backlog
H078,Motion / Kinetic,Kinetic Contrast Flip,Visually flip from false belief to correction.,Makes reframe memorable.,Better contrast recall.,May distract from speaker.,Static contrast vs flip animation.,Contrast recall; distraction,Speculative / direct test needed,P2,S19; S27,Backlog
H079,Motion / Kinetic,Friction Drag Animation,Make the word friction move slowly or resist movement.,Embodied metaphor supports concept.,Higher memory for abstract terms.,Metaphor may be too literal.,Static concept vs metaphor motion.,Concept recall; preference,Speculative / direct test needed,P3,S19,Backlog
H080,Motion / Kinetic,Snap-to-Action Animation,Action word snaps into place when instruction lands.,Marks action moment.,Better action recall.,Can feel like generic social editing.,Static vs snap action.,Action recall; completion,Speculative / direct test needed,P2,S19,Backlog
H081,Motion / Kinetic,Progressive Reveal Ladder,Reveal sequence vertically: cue → action → reward.,Segmenting supports working memory.,Better procedural recall.,Too slide-like for entertainment.,All-at-once vs progressive reveal.,Sequence recall; effort,Strong adjacent,P1,S09; S19,Backlog
H082,Motion / Kinetic,Motion as Syntax,"Use motion type to encode grammar: contrast slides apart, cause connects.",Creates visual grammar across videos.,Faster recognition after repeated exposure.,Requires audience learning.,Consistent grammar vs random motion.,Role recognition; long-term preference,Speculative / direct test needed,P3,S19; S27,Backlog
H083,Motion / Kinetic,Motion Silence,Keep key ideas static while less important transitions move.,Static becomes signal in a noisy platform.,Better focus on key phrases.,May feel low-energy.,Constant motion vs motion silence.,Recall; perceived quality,Moderate adjacent,P1,S19; S10,Backlog
H084,Motion / Kinetic,Single Micro-Pop,Only one word pops per beat.,Captures attention without karaoke noise.,Better than every-word popping.,Wrong word pop harms comprehension.,One-pop vs all-word pop.,Keyword recall; effort,Moderate adjacent,P1,S08; S19,Backlog
H085,Motion / Kinetic,De-Karaoke Captions,Replace active word-by-word highlighting with semantic beats for dense content.,Avoids forced tracking of every word.,Better gist and lower fatigue.,May reduce perceived energy.,Karaoke vs semantic beats.,Gist recall; effort,Strong adjacent,P0,S06; S24,Backlog
H086,Motion / Kinetic,Object-Attached Captions,Caption moves with object or hand only when labeling it.,Maintains spatial binding.,Better tutorial comprehension.,Motion tracking failure distracts.,Attached label vs static caption.,Task recall; gaze path,Moderate adjacent,P2,S14; S19,Backlog
H087,Motion / Kinetic,Gesture-Synced Text,Reveal instruction exactly when hand gesture demonstrates it.,Aligns temporal/spatial cues.,Better procedural learning.,Mistimed sync harms clarity.,Gesture-sync vs off-sync.,Task accuracy; recall,Moderate adjacent,P1,S09; S29,Backlog
H088,Motion / Kinetic,Zoom-Blocked Text,Suppress text during major zoom/camera movement.,Prevents concurrent motion competition.,Lower visual fatigue.,May leave semantic gaps.,Text during zoom vs delayed text.,Effort; visual recall,Speculative / direct test needed,P2,S19; S15,Backlog
H089,Motion / Kinetic,Impact Freeze Caption,Briefly freeze/slow frame for a complex takeaway.,Gives time to encode dense idea.,Higher recall for complex points.,Can reduce pacing/retention.,Normal speed vs freeze caption.,Recall; completion,Speculative / direct test needed,P2,S03; S09,Backlog
H090,Motion / Kinetic,Motion Budget Score,Limit animated overlay events per 10 seconds.,Keeps motion rare and meaningful.,"Lower fatigue, higher clarity.",Too low may feel flat on platforms.,Low/medium/high motion dose.,Effort; completion; recall,Moderate adjacent,P1,S19; S26,Backlog
H091,Visual Load / Clutter,Visual-Load Adaptive Word Count,Use fewer overlay words when the frame is visually busy.,Balances visual-channel load.,Better comprehension in demos and complex scenes.,Can under-explain muted clips.,Fixed vs adaptive density.,Gist; visual recall; effort,Strong adjacent,P0,S10; S15; S17,Backlog
H092,Visual Load / Clutter,Demo Minimal Labels,"During demonstrations, show only verbs or labels: twist, lock, pull.",Preserves action visibility.,Better procedural recall.,Too sparse for novices.,Sentence captions vs labels in demo.,Task recall; completion,Moderate adjacent,P1,S10; S15,Backlog
H093,Visual Load / Clutter,Busy Background Auto-Plate,Add a soft plate behind text only when background is complex.,Improves readability with minimal obstruction.,Fewer missed captions.,Plate may cover important visuals.,Auto plate vs always/never plate.,Readability; aesthetic rating,Strong adjacent,P1,S15; S28,Backlog
H094,Visual Load / Clutter,Background Dimming Window,Temporarily dim non-essential background behind text.,Reduces crowding and contrast problems.,Better text recognition.,May feel intrusive.,Dimming vs none.,Readability; immersion,Moderate adjacent,P2,S15; S28,Backlog
H095,Visual Load / Clutter,Visual Complexity Score,Compute frame-level complexity and use it to regulate overlay density.,Makes density adaptive and testable.,Better across mixed footage.,Complexity metric may not match human load.,Manual vs automated complexity rules.,Prediction accuracy; recall,Speculative / direct test needed,P1,S12; S15,Backlog
H096,Visual Load / Clutter,Caption Conflict Detector,Detect when too many text layers exist simultaneously.,Prevents split attention and crowding.,Higher clarity.,May suppress useful labels.,Conflict detector on/off.,Text count; effort; recall,Strong practical / direct test needed,P0,S10; S15,Backlog
H097,Visual Load / Clutter,High-Motion Suppression,Reduce caption animation and density during high visual motion.,Prevents competing motion streams.,Better visual recall.,Could miss key speech during action.,Motion-adaptive vs fixed overlay.,Visual recall; comprehension,Moderate adjacent,P1,S19; S15,Backlog
H098,Visual Load / Clutter,Simultaneous Text Budget,Limit screen to one primary text block plus one micro-label.,Keeps working memory manageable.,Lower effort.,May constrain complex explanations.,Budgeted vs unbudgeted overlays.,Effort; recall,Strong adjacent,P0,S10; S17,Backlog
H099,Visual Load / Clutter,Native Caption Conflict Checker,Avoid overlay collisions with platform auto-captions or imported captions.,Separates full caption layer and semantic layer.,Improves access and readability.,Platforms may render differently.,With/without conflict checking.,Occlusion; user complaints,Strong practical / direct test needed,P0,S01; S02; S15,Backlog
H100,Visual Load / Clutter,Background Pattern Detector,"Flag stripes, grids, leaves, and high-frequency textures behind text.",Crowding and contrast risk is high on patterned backgrounds.,Better readability after repositioning.,Detector may overflag.,Pattern-aware vs fixed placement.,Readability; failure rate,Moderate adjacent,P2,S15; S28,Backlog
H101,Visual Load / Clutter,Frame-Level Contrast Correction,Auto adjust text/backplate contrast per frame.,Keeps readability stable across video.,Fewer unreadable moments.,Style may shift too much.,Static style vs auto-correct.,WCAG ratio; readability,Strong adjacent,P0,S28,Backlog
H102,Visual Load / Clutter,Text Dwell Budget,Limit total seconds of on-screen text per 10 seconds of video.,Prevents turning video into reading task.,Better visual recall and lower fatigue.,Muted viewers may need more text.,Low/medium/high dwell budgets.,Visual recall; effort; muted comprehension,Speculative / direct test needed,P1,S05; S10; S26,Backlog
