Backlog ID,Method Code,Short Code,Canonical Name,Reference Label,Category Code,Category,Family Name,Class,Phase,Priority,Evidence Grade,Definition / What to try,Mechanism,Expected Direction,Failure Mode,Minimum Viable Experiment,Primary Metrics,Source IDs,Status
H039,TYP-019,TSH,Trust-Safe Highlighting,TYP-019 / TSH — Trust-Safe Highlighting,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Speculative / direct test needed,Avoid styling that exaggerates uncertain claims.,Maintains credibility while cueing importance.,Higher trust in nuanced content.,May reduce hook strength.,Overstated vs trust-safe styling.,Trust; comprehension; comments,S08; S09; S22; S23; S28,Backlog
H040,TYP-020,ACAC,Accessible Contrast Auto-Check,TYP-020 / ACAC — Accessible Contrast Auto-Check,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot first,P0,Strong adjacent,Auto-check caption/backplate contrast per frame.,Prevents unreadable overlays.,Fewer missed captions.,May force ugly backplates in complex frames.,Manual vs auto contrast corrected.,Readability; WCAG pass rate,S28; S15,Backlog
H041,TIM-001,PSP,Predictive Semantic Priming,TIM-001 / PSP — Predictive Semantic Priming,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Pilot first,P0,Moderate adjacent,Show compressed meaning 200–400 ms before the speaker lands it.,Reduces prediction load and primes interpretation.,Better comprehension and smoother processing.,Too early feels spoiler-like or mismatched.,Pre-cue vs sync vs post-cue.,Gist recall; smoothness; effort,S09; S27; S29,Backlog
H042,TIM-002,SLSB,Sync-Locked Semantic Beat,TIM-002 / SLSB — Sync-Locked Semantic Beat,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Pilot second,P1,Strong adjacent,Show the overlay exactly when the semantic beat is spoken.,Preserves audio-text relation.,Reliable baseline.,May be slightly late for fast comprehension.,Sync vs pre/post.,Comprehension; preference,S03; S04; S29,Backlog
H043,TIM-003,PCC,Post-Cue Confirmation,TIM-003 / PCC — Post-Cue Confirmation,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Explore later,P2,Moderate adjacent,Display a summary immediately after the sentence.,Acts as recap rather than preview.,Better exact-to-gist consolidation.,Late text may miss retention window.,Post-cue vs sync.,Delayed recall; completion,S09; S29,Backlog
H044,TIM-004,PWC,Pause-Window Captioning,TIM-004 / PWC — Pause-Window Captioning,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Pilot second,P1,Moderate adjacent,Place heavier text only during speech pauses or low-action moments.,Avoids competing with important audiovisual input.,Higher visual recall.,Pauses may be too rare in fast speech.,Same overlay during speech vs pauses.,Visual recall; effort,S05; S10; S18,Backlog
H045,TIM-005,BAC,Breath-Aligned Captions,TIM-005 / BAC — Breath-Aligned Captions,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Explore later,P2,Speculative / direct test needed,Use natural speech breaths to segment caption events.,Matches human prosody and reduces rush.,Improved comfort and comprehension.,Breaths are hard to detect in noisy audio.,Breath-aligned vs uniform timing.,Comfort; completion,S03; S19,Backlog
H046,TIM-006,CLR,Cut-Locked Reveal,TIM-006 / CLR — Cut-Locked Reveal,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Explore later,P2,Moderate adjacent,Reveal caption on visual cut or camera movement boundary.,Uses visual reset for attention capture.,Better noticing without extra motion.,Can compete with scene change if too much text.,Cut-locked vs mid-shot reveal.,First fixation; recall,S19; S29,Backlog
H047,TIM-007,MEG,Minimum Exposure Guardrail,TIM-007 / MEG — Minimum Exposure Guardrail,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Pilot first,P0,Strong adjacent,No caption shorter than 0.8 sec except one-word impact beats.,Respects reading timing constraints.,Lower missed captions.,May slow fast content.,Min duration on/off variants.,Missed caption rate; effort,S03; S04; S06,Backlog
H048,TIM-008,MRR,Micro-Rest Rhythm,TIM-008 / MRR — Micro-Rest Rhythm,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Pilot second,P1,Moderate adjacent,Insert brief no-text gaps between semantic beats.,Lets eyes return to video and reduces continuous reading.,Better visual recall and lower fatigue.,Gaps may lose muted viewers.,Continuous text vs micro-rest.,Visual recall; effort; completion,S05; S10; S26,Backlog
H049,TIM-009,ABS,Attentional-Blink Spacing,TIM-009 / ABS — Attentional-Blink Spacing,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Explore later,P2,Moderate adjacent,Avoid presenting two critical words within 200–500 ms.,Prevents rapid target competition.,Better recall of second critical word.,May slow high-energy edits.,Critical words close vs spaced.,Second-keyword recall,S24; S29,Backlog
H050,TIM-010,TMD,Tempo-Matched Density,TIM-010 / TMD — Tempo-Matched Density,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Pilot second,P1,Strong adjacent,Decrease word count as speech tempo rises.,Keeps reading load stable.,Better comprehension at fast speech.,May omit too much at high speed.,Fixed density vs tempo-adaptive.,Gist recall; effort,S04; S06,Backlog
H051,TIM-011,CRP,Caption Refractory Period,TIM-011 / CRP — Caption Refractory Period,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Explore later,P2,Speculative / direct test needed,"After an emphasized word, hold visual quiet for a beat.",Gives consolidation time.,Better memory for highlighted term.,May feel slow.,Immediate next text vs refractory gap.,Keyword recall; completion,S24; S29,Backlog
H052,TIM-012,LFMS,Last-Frame Memory Stamp,TIM-012 / LFMS — Last-Frame Memory Stamp,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Pilot second,P1,Moderate adjacent,Hold final takeaway for the last 0.8–1.5 sec.,Supports post-view recall and saves.,Higher save/share and delayed recall.,Can reduce loop smoothness.,With/without final stamp.,Delayed recall; saves,S03; S09,Backlog
H053,TIM-013,LCC,Loop Callback Caption,TIM-013 / LCC — Loop Callback Caption,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Explore later,P2,Speculative / direct test needed,End with a phrase that reinterprets the opening hook.,Improves narrative closure and rewatch.,Higher completion and rewatch.,Can become manipulative if hook was weak.,Callback vs generic ending.,Completion; rewatch,S25,Backlog
H054,TIM-014,SAC,Speed-Adaptive Captions,TIM-014 / SAC — Speed-Adaptive Captions,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Explore later,P3,Speculative / direct test needed,Detect playback speed or speech rate and adjust overlay density.,Personalizes load.,Better across fast/slow viewers.,Platform may not expose playback speed.,Manual fast/slow variants.,Comprehension by speech rate,S06; S30,Backlog
H055,TIM-015,OBS,On-Beat Silence,TIM-015 / OBS — On-Beat Silence,TIM,Timing / Rhythm,Timing and Rhythm,Timing Method,Explore later,P2,Moderate adjacent,"Use no text during important sounds, laughs, or music drops.",Prevents text from flattening audio moments.,Better enjoyment.,Muted viewers lose context unless captions provide sound cue.,Text during sound vs no text + sound cue.,Enjoyment; comprehension,S01; S05; S20,Backlog
H056,GAZ-001,MSC,Mouth-Safe Captioning,GAZ-001 / MSC — Mouth-Safe Captioning,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot first,P0,Strong adjacent,Never cover the mouth during speech-heavy clips.,Protects audiovisual speech cues.,Better comprehension in noisy/audio-on conditions.,Less relevant when muted.,Mouth-covered vs mouth-safe overlay.,Comprehension; face dwell,S18; S32,Backlog
H057,GAZ-002,ESC,Eye-Safe Captioning,GAZ-002 / ESC — Eye-Safe Captioning,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Avoid covering eyes in emotional/storytelling clips.,Protects social/emotional information.,Better empathy and retention.,May reduce text placement options.,Eye-covered vs eye-safe.,Emotion recognition; completion,S20; S32,Backlog
H058,GAZ-003,ASC,Action-Safe Captioning,GAZ-003 / ASC — Action-Safe Captioning,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot first,P0,Strong adjacent,"Avoid hands, products, joints, cursor, and key action path.",Prevents text from stealing task-critical visual information.,Better visual recall and task learning.,May require dynamic object tracking.,Action-covered vs action-safe.,Visual recall; task accuracy,S10; S14; S15,Backlog
H059,GAZ-004,ONL,Object-Near Labels,GAZ-004 / ONL — Object-Near Labels,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Place short labels next to the relevant object instead of bottom captions.,Reduces split attention and search.,Better tutorial comprehension.,Labels may crowd the object.,Bottom caption vs object-near labels.,Task recall; gaze travel,S13; S14,Backlog
H060,GAZ-005,USZT,UI-Safe Zone Templates,GAZ-005 / USZT — UI-Safe Zone Templates,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot first,P0,Strong practical / direct test needed,Define TikTok/Reels/Shorts danger zones and avoid them.,Prevents platform interface collision.,Higher readability in feed context.,Safe zones vary by device/platform.,Bottom-fixed vs UI-safe placement.,Readability; occlusion rate,S02; S15; S28,Backlog
H061,GAZ-006,SAP,Saliency-Avoiding Placement,GAZ-006 / SAP — Saliency-Avoiding Placement,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Place text away from predicted high-saliency regions unless it is a label.,Reduces competition with visual content.,Better visual recall.,Low-saliency areas may be poor contrast.,Fixed vs saliency-aware placement.,Visual recall; gaze distribution,S12; S14,Backlog
H062,GAZ-007,MMP,Meaning-Map Placement,GAZ-007 / MMP — Meaning-Map Placement,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Place text where it supports the semantic region of the scene.,Combines semantic value with gaze tendencies.,Better comprehension than visually loud placement.,Meaning maps hard to automate.,Meaning-aware vs low-level saliency placement.,Gist recall; gaze alignment,S11; S12,Backlog
H063,GAZ-008,CAC,Crowding-Aware Captioning,GAZ-008 / CAC — Crowding-Aware Captioning,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot first,P0,Strong adjacent,"Avoid placing text near other text, UI, or high-frequency background.",Reduces peripheral clutter interference.,Better readability.,May force bland layouts.,Crowded vs uncrowded placement.,Readability; effort,S15; S28,Backlog
H064,GAZ-009,NSC,Negative-Space Captions,GAZ-009 / NSC — Negative-Space Captions,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Use empty background regions for semantic overlays.,Increases contrast and reduces interference.,Higher readability and aesthetic rating.,Not every shot has negative space.,Negative space vs default bottom.,Readability; visual recall,S15; S28,Backlog
H065,GAZ-010,SZTH,Shoulder-Zone Talking Head Overlay,GAZ-010 / SZTH — Shoulder-Zone Talking Head Overlay,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Speculative / direct test needed,"Place captions near upper chest/shoulder, away from mouth/eyes/UI.",Balances face access and text proximity.,Better than bottom captions for talking heads.,May cover gestures or clothing patterns.,Shoulder-zone vs lower-third.,Comprehension; mouth visibility,S18; S32,Backlog
H066,GAZ-011,SRTL,Screen-Recording Target Labels,GAZ-011 / SRTL — Screen-Recording Target Labels,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Place labels near the cursor/control being discussed.,Reduces split attention in UI tutorials.,Better procedural recall.,Can obscure UI targets.,Bottom captions vs target labels.,Task accuracy; gaze path,S10; S14,Backlog
H067,GAZ-012,PHC,Product Halo Captions,GAZ-012 / PHC — Product Halo Captions,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Explore later,P2,Speculative / direct test needed,Place short labels in a ring around product without covering it.,Keeps product visible while explaining attributes.,Better product recall.,Could look cluttered.,Halo labels vs caption block.,Attribute recall; visual recall,S14; S15,Backlog
H068,GAZ-013,FAP,Foveal Anchor + Peripheral Cue,GAZ-013 / FAP — Foveal Anchor + Peripheral Cue,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Explore later,P2,Moderate adjacent,Put readable text centrally; use peripheral arrows/icons for orientation.,Matches foveal/peripheral strengths.,Better orientation without peripheral reading burden.,Could increase visual complexity.,Text-only vs text+peripheral cue.,Gist recall; gaze travel,S31; S15,Backlog
H069,GAZ-014,DRAR,Dynamic Reflow Around ROI,GAZ-014 / DRAR — Dynamic Reflow Around ROI,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Move captions frame-by-frame around faces/hands/products.,Avoids visual obstruction dynamically.,Better across complex shots.,Movement itself may distract.,Static safe zone vs dynamic reflow.,Visual recall; distraction,S12; S13; S14,Backlog
